       true unwei.est unwei.se wei.est wei.se
beta00 -2.5    -3.023    0.006  -2.497  0.007
beta10 -2.5    -3.185    0.006  -2.489  0.007
beta20 -2.5    -3.230    0.005  -2.512  0.007
beta30 -2.5    -3.220    0.005  -2.490  0.008
beta40 -2.5    -3.216    0.005  -2.498  0.009
beta50 -2.5    -3.205    0.006  -2.505  0.010
beta60 -2.5    -3.200    0.006  -2.503  0.012
beta70 -2.5    -3.182    0.006  -2.479  0.018
beta80 -2.5    -3.176    0.007  -2.475  0.016
beta90 -2.5    -3.164    0.007  -2.503  0.017
beta1   0.5     0.429    0.003   0.496  0.004
beta2   0.5     0.403    0.005   0.497  0.007
beta3  -1.0     0.255    0.005  -1.002  0.007
beta4   0.0     0.011    0.001   0.001  0.001
beta5   0.0     0.014    0.001  -0.001  0.002
beta6   0.0     0.042    0.001   0.003  0.002
