       true unwei.est unwei.se wei.est wei.se
beta00 -1.2    -1.572    0.003  -1.197  0.004
beta10 -1.2    -1.661    0.004  -1.205  0.004
beta20 -1.2    -1.639    0.004  -1.201  0.004
beta30 -1.2    -1.593    0.004  -1.204  0.005
beta40 -1.2    -1.552    0.004  -1.206  0.007
beta50 -1.2    -1.507    0.005  -1.199  0.009
beta60 -1.2    -1.477    0.005  -1.212  0.014
beta70 -1.2    -1.445    0.006  -1.211  0.017
beta80 -1.2    -1.430    0.007  -1.229  0.019
beta90 -1.2    -1.394    0.008  -1.184  0.023
beta1   0.5     0.446    0.002   0.500  0.002
beta2   0.5     0.422    0.004   0.495  0.005
beta3  -1.0    -0.012    0.004  -1.002  0.005
beta4   0.0     0.013    0.001   0.001  0.001
beta5   0.0     0.017    0.001   0.004  0.002
beta6   0.0     0.044    0.001   0.003  0.002
